timestamp,money_line_home,money_line_draw,money_line_away,spread_-1.75_home,spread_-1.75_away,spread_-1.5_home,spread_-1.5_away,spread_-1.25_home,spread_-1.25_away,spread_-1.0_home,spread_-1.0_away,spread_-0.75_home,spread_-0.75_away,spread_-0.5_home,spread_-0.5_away,spread_-0.25_home,spread_-0.25_away,spread_0.0_home,spread_0.0_away,spread_0.25_home,spread_0.25_away,totals_2.0_over,totals_2.0_under,totals_2.25_over,totals_2.25_under,totals_2.5_over,totals_2.5_under,totals_2.75_over,totals_2.75_under,totals_3.0_over,totals_3.0_under,totals_3.25_over,totals_3.25_under,totals_3.5_over,totals_3.5_under,totals_3.75_over,totals_3.75_under,totals_4.0_over,totals_4.0_under,totals_4.25_over,totals_4.25_under,totals_4.5_over,totals_4.5_under,totals_4.75_over,totals_4.75_under,totals_5.0_over,totals_5.0_under,totals_5.25_over,totals_5.25_under
2025-12-02 15:00:05,1.694,4.14,4.29,3.41,1.314,2.68,1.469,2.44,1.591,2.16,1.763,1.877,2.02,1.699,2.27,1.507,2.66,1.315,3.4,1.289,3.59,1.287,3.58,1.357,3.13,1.416,2.85,1.52,2.59,1.662,2.31,1.892,1.99,2.11,1.787,2.37,1.609,2.79,1.432,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:01:40,1.689,4.15,4.29,3.41,1.314,2.67,1.471,2.43,1.591,2.15,1.769,1.877,2.03,1.699,2.27,1.505,2.66,1.315,3.41,1.289,3.59,1.287,3.58,1.357,3.13,1.411,2.87,1.512,2.61,1.653,2.33,1.877,2,2.09,1.793,2.35,1.617,2.77,1.438,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:02:30,1.694,4.14,4.29,3.41,1.314,2.68,1.469,2.44,1.588,2.16,1.763,1.877,2.02,1.699,2.27,1.507,2.66,1.315,3.4,1.289,3.59,1.287,3.58,1.357,3.13,1.416,2.85,1.52,2.59,1.662,2.31,1.892,1.99,2.11,1.787,2.37,1.609,2.79,1.431,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:02:50,1.694,4.13,4.29,3.41,1.314,2.69,1.467,2.44,1.588,2.17,1.763,1.884,2.02,1.699,2.26,1.507,2.66,1.316,3.4,1.289,3.59,1.287,3.58,1.357,3.13,1.421,2.83,1.526,2.57,1.671,2.29,1.9,1.98,2.12,1.775,2.38,1.602,2.81,1.425,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:03:15,1.704,4.1,4.26,3.41,1.314,2.71,1.462,2.46,1.581,2.18,1.751,1.892,2.01,1.709,2.25,1.515,2.64,1.32,3.37,1.289,3.59,1.287,3.58,1.357,3.13,1.423,2.82,1.529,2.57,1.675,2.29,1.909,1.98,2.12,1.775,2.39,1.598,2.82,1.423,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:03:25,1.714,4.06,4.23,3.41,1.314,2.74,1.452,2.49,1.568,2.21,1.735,1.917,1.99,1.724,2.22,1.523,2.61,1.326,3.33,1.289,3.59,1.287,3.58,1.357,3.13,1.431,2.79,1.54,2.54,1.689,2.26,1.925,1.961,2.14,1.763,2.42,1.588,2.86,1.413,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:03:45,1.724,4.04,4.21,3.41,1.314,2.76,1.448,2.51,1.561,2.22,1.724,1.925,1.98,1.729,2.21,1.529,2.59,1.33,3.31,1.289,3.59,1.287,3.58,1.357,3.13,1.436,2.77,1.546,2.52,1.699,2.24,1.934,1.952,2.15,1.751,2.43,1.581,2.88,1.408,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:03:50,1.735,4.01,4.19,3.41,1.314,2.8,1.436,2.54,1.546,2.25,1.709,1.943,1.961,1.74,2.2,1.534,2.58,1.333,3.29,1.289,3.59,1.287,3.58,1.357,3.13,1.462,2.68,1.584,2.42,1.757,2.15,2.01,1.877,2.24,1.699,2.54,1.537,3.04,1.374,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:04:10,1.719,4.07,4.19,3.41,1.314,2.76,1.448,2.51,1.561,2.22,1.724,1.917,1.98,1.724,2.22,1.529,2.6,1.33,3.31,1.289,3.59,1.287,3.58,1.357,3.13,1.425,2.81,1.534,2.55,1.689,2.26,1.925,1.952,2.15,1.751,2.43,1.581,2.88,1.408,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
2025-12-02 15:04:20,1.729,4.04,4.17,3.41,1.314,2.78,1.44,2.53,1.552,2.24,1.714,1.934,1.97,1.735,2.2,1.537,2.57,1.335,3.28,1.289,3.59,1.287,3.58,1.357,3.13,1.432,2.78,1.546,2.52,1.699,2.24,1.943,1.934,2.17,1.74,2.46,1.571,2.92,1.4,2.52,1.546,2.79,1.431,2.24,1.704,2.69,1.49,2.99,1.383
