money_line_home,money_line_draw,money_line_away,spread_-1.75_home,spread_-1.75_away,spread_-1.5_home,spread_-1.5_away,spread_-1.25_home,spread_-1.25_away,spread_-1.0_home,spread_-1.0_away,spread_-0.75_home,spread_-0.75_away,spread_-0.5_home,spread_-0.5_away,spread_-0.25_home,spread_-0.25_away,spread_0.0_home,spread_0.0_away,spread_0.25_home,spread_0.25_away,totals_2.25_over,totals_2.25_under,totals_2.5_over,totals_2.5_under,totals_2.75_over,totals_2.75_under,totals_3.0_over,totals_3.0_under,totals_3.25_over,totals_3.25_under,totals_3.5_over,totals_3.5_under,totals_3.75_over,totals_3.75_under,totals_4.0_over,totals_4.0_under,totals_4.25_over,totals_4.25_under,totals_4.5_over,totals_4.5_under
1.74,4.13,4.02,3.47,1.297,2.86,1.409,2.57,1.502,2.26,1.636,1.943,1.877,1.74,2.09,1.543,2.46,1.349,3.14,1.285,3.57,1.315,3.29,1.452,2.67,1.552,2.41,1.699,2.14,1.925,1.877,2.14,1.699,2.43,1.543,2.91,1.387,3.21,1.328,3.37,1.331
1.746,4.07,4.01,3.49,1.295,2.87,1.408,2.58,1.5,2.27,1.632,1.952,1.869,1.746,2.06,1.546,2.45,1.352,3.13,1.287,3.55,1.319,3.26,1.458,2.65,1.561,2.39,1.709,2.13,1.943,1.862,2.15,1.689,2.45,1.537,2.94,1.383,3.23,1.325,3.35,1.334
1.769,4.01,3.95,3.55,1.288,2.92,1.396,2.62,1.485,2.32,1.609,1.98,1.84,1.769,2.02,1.564,2.41,1.363,3.07,1.294,3.5,1.322,3.25,1.462,2.64,1.564,2.38,1.714,2.12,1.952,1.854,2.16,1.684,2.46,1.534,2.95,1.38,3.24,1.323,3.27,1.346
1.793,4.02,3.89,3.61,1.28,2.97,1.384,2.67,1.469,2.36,1.588,2.01,1.813,1.793,2.04,1.581,2.37,1.375,3.01,1.303,3.44,1.324,3.23,1.465,2.62,1.568,2.36,1.719,2.11,1.961,1.847,2.18,1.675,2.48,1.531,2.96,1.377,3.26,1.321,3.28,1.344
1.781,4.09,3.94,3.58,1.283,2.94,1.39,2.65,1.476,2.34,1.598,2,1.826,1.781,2.06,1.571,2.39,1.367,3.05,1.296,3.48,1.328,3.21,1.469,2.61,1.574,2.56,1.724,2.1,1.826,1.98,2.02,1.781,2.29,1.526,2.98,1.373,3.28,1.317,3.27,1.347
1.763,4.15,3.95,3.47,1.298,2.87,1.408,2.58,1.497,2.29,1.625,1.97,1.854,1.763,2.07,1.561,2.41,1.362,3.08,1.294,3.5,1.286,3.48,1.411,2.81,1.497,2.59,1.617,2.28,1.84,2,2.04,1.793,2.31,1.609,2.73,1.432,3.04,1.361,3.28,1.344
1.781,4.17,4,3.53,1.304,2.91,1.414,2.63,1.505,2.33,1.628,1.99,1.869,1.787,2.06,1.584,2.42,1.383,3.06,1.311,3.48,1.294,3.54,1.42,2.85,1.507,2.56,1.628,2.31,1.854,1.98,2.06,1.781,2.33,1.621,2.77,1.442,3.08,1.37,3.29,1.343
1.787,4.15,3.93,3.54,1.303,2.92,1.413,2.62,1.502,2.32,1.632,2,1.854,1.793,2.07,1.588,2.41,1.378,3.08,1.312,3.5,1.299,3.5,1.427,2.82,1.515,2.54,1.641,2.28,1.826,2.01,2.05,1.775,2.31,1.609,2.79,1.436,3.1,1.364,3.28,1.344
1.793,4.18,3.95,3.53,1.305,2.91,1.416,2.63,1.505,2.31,1.628,1.99,1.862,1.781,2.06,1.581,2.42,1.38,3.07,1.309,3.48,1.298,3.51,1.42,2.83,1.507,2.59,1.632,2.29,1.847,2.04,2.02,1.8,2.27,1.602,2.76,1.429,3.07,1.366,3.27,1.347
1.781,4.17,3.94,3.54,1.304,2.92,1.414,2.62,1.502,2.34,1.625,2,1.854,1.806,2.07,1.584,2.45,1.381,3.06,1.311,3.49,1.293,3.46,1.408,2.8,1.492,2.63,1.613,2.27,1.854,2.03,2.04,1.819,2.31,1.621,2.71,1.444,3.02,1.359,3.25,1.35
1.787,4.18,4.02,3.52,1.303,2.9,1.413,2.65,1.507,2.38,1.632,1.99,1.862,1.819,2.1,1.581,2.42,1.398,3.07,1.31,3.55,1.284,3.53,1.421,2.85,1.507,2.62,1.628,2.32,1.862,2.04,2.05,1.806,2.32,1.641,2.76,1.458,3.08,1.369,3.24,1.353
1.781,4.27,3.98,3.58,1.306,2.95,1.418,2.7,1.526,2.39,1.653,2.02,1.884,1.826,2.07,1.602,2.43,1.404,3.12,1.325,3.51,1.295,3.62,1.423,2.9,1.51,2.61,1.632,2.35,1.869,2.05,2.06,1.813,2.33,1.636,2.77,1.454,3.09,1.381,3.22,1.355
1.806,4.23,3.97,3.65,1.321,3,1.434,2.71,1.512,2.38,1.632,2.05,1.869,1.819,2.08,1.613,2.44,1.406,3.08,1.331,3.5,1.298,3.6,1.425,2.89,1.515,2.64,1.641,2.34,1.826,2.11,2.05,1.847,2.3,1.628,2.79,1.45,3.11,1.38,3.27,1.347
1.826,4.22,3.98,3.66,1.313,3.01,1.423,2.7,1.51,2.37,1.628,2.04,1.862,1.813,2.06,1.617,2.41,1.408,3.07,1.332,3.51,1.301,3.58,1.429,2.88,1.495,2.66,1.613,2.33,1.813,2.1,2.03,1.862,2.29,1.657,2.75,1.469,3.06,1.377,3.31,1.341
1.819,4.23,3.99,3.65,1.312,3,1.421,2.69,1.512,2.35,1.632,2.03,1.869,1.826,2.07,1.613,2.42,1.404,3.08,1.331,3.52,1.294,3.63,1.427,2.93,1.487,2.72,1.606,2.37,1.775,2.11,1.98,1.9,2.23,1.666,2.73,1.476,3.04,1.387,3.36,1.333
1.813,4.25,4,3.62,1.311,2.98,1.42,2.68,1.515,2.39,1.641,2.06,1.877,1.819,2.08,1.609,2.44,1.403,3.09,1.33,3.53,1.299,3.59,1.416,2.94,1.469,2.73,1.574,2.38,1.781,2.1,1.99,1.909,2.22,1.699,2.65,1.5,2.96,1.392,3.37,1.331
1.819,4.26,3.96,3.61,1.312,2.97,1.421,2.66,1.518,2.38,1.649,2.05,1.862,1.813,2.09,1.621,2.43,1.401,3.1,1.328,3.49,1.295,3.62,1.411,3.01,1.471,2.72,1.578,2.45,1.769,2.09,1.98,1.9,2.23,1.694,2.66,1.497,2.97,1.408,3.33,1.337
1.813,4.25,3.97,3.58,1.316,2.95,1.427,2.71,1.526,2.36,1.628,2.03,1.877,1.806,2.08,1.617,2.42,1.409,3.09,1.334,3.5,1.294,3.63,1.398,3,1.467,2.71,1.574,2.44,1.781,2.1,1.99,1.892,2.24,1.699,2.65,1.502,2.95,1.406,3.35,1.333
1.819,4.26,4,3.57,1.317,3,1.429,2.69,1.523,2.35,1.632,2.04,1.884,1.813,2.07,1.609,2.49,1.408,3.1,1.332,3.53,1.294,3.62,1.4,3.01,1.471,2.72,1.578,2.46,1.775,2.11,2,1.9,2.22,1.694,2.66,1.497,2.97,1.409,3.26,1.349
1.833,4.25,3.99,3.58,1.322,2.99,1.434,2.67,1.526,2.36,1.645,2.05,1.877,1.819,2.13,1.606,2.52,1.401,3.09,1.328,3.54,1.288,3.56,1.396,3,1.473,2.73,1.581,2.44,1.763,2.12,1.99,1.917,2.21,1.689,2.67,1.495,2.98,1.406,3.27,1.347
